iteration,condition,num_docs,purity,RI,NMI
1,TA,2,0.320548082,0.451848273,0.003108246
1,TA,3,0.363954593,0.542152637,0.026949039
1,TA,4,0.359953993,0.609139631,0.021867125
1,TA,5,0.364804721,0.637660617,0.046405475
1,TA,6,0.394159124,0.670781398,0.056747684
1,TA,7,0.389908486,0.681593607,0.048439599
1,TA,8,0.400010002,0.696449301,0.069416032
1,TA,9,0.454568185,0.653877563,0.110323781
1,TA,10,0.484672701,0.693315455,0.113801721
1,TA,11,0.481272191,0.73293533,0.171653338
1,TA,12,0.54033105,0.742943618,0.181122573
1,TA,13,0.541481222,0.743785898,0.178479995
1,TA,14,0.53893084,0.745902338,0.17550117
1,TA,15,0.53613042,0.746224776,0.17923751
1,TA,16,0.536880532,0.752900067,0.180589046
1,TA,17,0.536180427,0.769484071,0.179160396
1,TA,18,0.546031905,0.769868526,0.17884311
1,TA,19,0.549082362,0.766302363,0.178184236
1,TA,20,0.547582137,0.769076644,0.1782394
1,TA,21,0.571485723,0.769220394,0.215713555
1,TA,22,0.619192879,0.771090644,0.236258606
1,TA,23,0.620243036,0.780602347,0.232032711
1,TA,24,0.622943442,0.794395745,0.23321485
1,TA,25,0.623143472,0.794325365,0.229310078
1,TA,26,0.66119918,0.798816152,0.262421534
1,TA,27,0.686552983,0.799188997,0.297031958
1,TA,28,0.723558534,0.811049568,0.300759415
1,TA,29,0.730109516,0.812565248,0.355395558
1,TA,30,0.752762914,0.816035483,0.3584695
1,TA,31,0.762614392,0.816744281,0.360333431
1,TA,32,0.753963094,0.81836927,0.358925425
1,TA,33,0.751462719,0.817479588,0.35573333
1,TA,34,0.752062809,0.819114636,0.355801856
1,TA,35,0.754863229,0.818206303,0.368661575
1,TA,36,0.753363004,0.819561432,0.370186681
1,TA,37,0.752862929,0.819953479,0.402344565
1,TA,38,0.757113567,0.821344091,0.40263358
1,TA,39,0.75766365,0.821277292,0.405290877
1,TA,40,0.756613492,0.819674647,0.405429378
1,TA,41,0.757363605,0.82004089,0.418427459
1,TA,42,0.772315847,0.830394893,0.418234303
1,TA,43,0.773215982,0.830731681,0.406021806
1,TA,44,0.776216432,0.83160118,0.408674714
1,TA,45,0.778316748,0.83155667,0.419353844
1,TA,46,0.777816673,0.831513365,0.413932208
1,TA,47,0.777316597,0.830609563,0.41390777
1,TA,48,0.774966245,0.828466713,0.411975532
1,TA,49,0.780217033,0.82905759,0.408871277
1,TA,50,0.78106716,0.82918431,0.40421983
1,TA,51,0.78186728,0.828947102,0.400176837
1,TA,52,0.78146722,0.831053084,0.411520167
1,TA,53,0.781817273,0.830025089,0.415205505
1,TA,54,0.779566935,0.829677022,0.452185124
1,TA,55,0.780017003,0.831861422,0.451935257
1,TA,56,0.781367205,0.832119862,0.449362945
1,TA,57,0.781567235,0.832111674,0.446907696
1,TA,58,0.782017303,0.832011769,0.453976062
1,TA,59,0.782517378,0.831591862,0.461696669
1,TA,60,0.782517378,0.831761677,0.454845511
1,TA,61,0.782767415,0.824350908,0.454468595
1,TA,62,0.781917288,0.826843715,0.452541339
